#,model,make,vehicle class(GTA V/GTA Online),type,style,capacity,price,website,type,appears in,variant(s),similar vehicle(s)
410,Unmarked Cruiser,Vapid,Emergency,Law enforcement car,4-door sedan,4,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Stanier#Police Cruiser#Sheriff Cruiser#NOOSE Cruiser
411,Apocalypse Bruiser,Benefactor,Off-Road,Civilian vehicle,Custom 4-door 6x6 limousine,4,"$1,609,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock Bruiser#Nightmare Bruiser,Glendale#Cerberus#Dubsta 6x6
412,Future Shock Bruiser,Benefactor,Off-Road,Civilian vehicle,Custom 4-door 6x6 limousine,4,"$1,609,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Glendale#Apocalypse Bruiser#Nightmare Bruiser#Cerberus#Dubsta 6x6
413,Nightmare Bruiser,Benefactor,Off-Road,Civilian vehicle,Custom 4-door 6x6 limousine,4,"$1,609,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Glendale#Apocalypse Bruiser#Future Shock Bruiser#Cerberus#Dubsta 6x6
414,Apocalypse Brutus,Declasse,Off-Road,Civilian vehicle,Custom van,2,"$2,666,650#$2,005,000 (trade price)#(Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock Brutus#Nightmare Brutus,0
415,Future Shock Brutus,Declasse,Off-Road,Civilian vehicle,Custom van,2,"$2,666,650#$2,005,000 (trade price)#(Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Apocalypse Brutus#Nightmare Brutus
416,Nightmare Brutus,Declasse,Off-Road,Civilian vehicle,Custom van,2,"$2,666,650#$2,005,000 (trade price)#(Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Apocalypse Brutus#Future Shock Brutus
417,Bifta,BF,Off-Road,Civilian car,Buggy,2,"$75,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Injection#Dune Buggy
418,Blazer,Nagasaki,Off-Road,Civilian ATV,Quad bike,1,"$8,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Blazer Aqua#Blazer Lifeguard#Hot Rod Blazer#Street Blazer,Quad
419,Blazer Aqua,Nagasaki,Off-Road,Civilian vehicle,Amphibious quad bike/ATV,1,"$1,755,600#$1,320,000 (SecuroServ Trade Price)# (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Blazer#Hot Rod Blazer#Blazer Lifeguard#Street Blazer#Quad#Technical Aqua#Vortex#Bovver'64#Splitz-6 ATV
420,Blazer Lifeguard,Nagasaki,Off-Road,Emergency vehicle,Quad bike,1,"$62,000 (GTA Online) (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Blazer#Quad#Hot Rod Blazer#Street Blazer#Blazer Aqua
421,Bodhi,Canis,Off-Road,Civilian pickup truck,2-door pickup truck,4,"$25,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Kamacho#Kalahari
422,Brawler,Coil,Off-Road,Civilian vehicle,Rally Raid modified sports car,2,"$715,000#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Comet Safari#Freecrawler#Streiter
423,Caracara,Vapid,Off-Road,Civilian truck,4-door armed 6x6 pickup truck,5,"$1,775,000 (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Caracara 4x4,Dubsta 6x6#Technical#Technical Custom#Technical Aqua#Contender#Guardian#Riata
424,Caracara 4x4,Vapid,Off-Road,Civilian truck,4-door pickup truck,4,"$875,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Caracara#Sandking SWB#Sandking XL#Dubsta#Rebel#Contender#Guardian#Riata#Kamacho#Freecrawler#Hellion
425,Desert Raid,Vapid,Off-Road,Civilian vehicle,Trophy truck,2,"$695,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Trophy Truck
426,Dubsta 6x6,Benefactor,Off-Road,Civilian truck,4-door SUT/pickup truck,6,"$249,000 (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Dubsta#Kamacho#Caracara#Bruiser
427,Dune Buggy,BF,Off-Road,Civilian car,Off-road buggy,2,"$20,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Space Docker#Dune FAV#Ramp Buggy,Bandito
428,Dune FAV,BF,Off-Road,Civilian vehicle,Fast-attack buggy,2,"$1,130,500#$850,000 (Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Dune Buggy#Ramp Buggy#Barrage
429,Everon,Karin,Off-Road,Civilian vehicle,4-door offroad truck,4,"$1,475,000#$1,106,250 (trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Contender#Rebel#Rusty Rebel#Technical#Riata#Kamacho#Caracara 4x4#Hellion
430,Freecrawler,Canis,Off-Road,Civilian vehicle,4-door SUV,4,"$597,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Mesa#Kamacho
431,Duneloader,Bravado,Off-Road,Civilian truck,2-door pickup truck,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Half-track,Bison#Rat-Loader#Walton
432,Hellion,Annis,Off-Road,Civilian vehicle,2-door pickup truck,0,"$835,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Rancher#BeeJay XL#Dubsta#Rebel#Sandking SWB#Riata#Freecrawler#Seminole Frontier#Landstalker (3D Universe)
433,Hot Rod Blazer,Nagasaki,Off-Road,Custom vehicle,Quad bike,1,"$69,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online [DLC],0,Blazer#Quad#Blazer Lifeguard#Street Blazer#Blazer Aqua
434,Injection,BF (HD Universe),Off-Road,Civilian car,Dune buggy (3D Universe)#Off-road coupe (GTA V),2,"$12,000 (GTA San Andreas)#(Exports and Imports)#$4,000 (Bulletproof) (GTA Vice City Stories)#(Sunshine Autos)#$16,000 (GTA V)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,0,Weevil#Bifta#Dune Buggy
435,Insurgent,HVY,Off-Road,Military/Civilian armored vehicle,Light Armored Personnel Vehicle,6,"$897,750#$675,000 (after The Humane Labs Raid)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC],Insurgent Pick-Up,FBI Truck#Insurgent Pick-Up Custom#Menacer
436,Insurgent Pick-Up,HVY,Off-Road,Military/Civilian armored vehicle,Light Armored Personnel Vehicle,9,"• ­$1,795,000#• ­$1,350,000 (after The Humane Labs Raid)#(Warstock Cache & Carry)#FREE (For players who logged in on December 31st, 2018)",,VEHICLE,Grand Theft Auto Online [DLC],Insurgent Pick-Up Custom,Insurgent#Police Riot
437,Insurgent Pick-Up Custom,HVY,Off-Road,Military/Civilian armored vehicle,Light Armored Personnel Vehicle,9,"$202,500 (Conversion at Mobile Operations Center/Avenger workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Insurgent Pick-Up#Insurgent#Technical Custom
438,Kalahari,Canis,Off-Road,Civilian car,2-door utility truck,2,"$40,000 (Hardtop, GTA Online)#$51,000 (Topless, GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,0
439,Kamacho,Canis,Off-Road,Civilian car,4-door utility truck,4,"$345,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Dubsta 6x6#Riata#Kalahari#Mesa#Freecrawler
440,Menacer,HVY,Off-Road,Civilian vehicle[1],4-door armored truck,5,"$1,775,000 (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Squaddie#Insurgent Pick-Up#Insurgent Pick-Up Custom#Nightshark#Barrage#FBI Truck
441,Nightshark,HVY,Off-Road,Civilian vehicle,Armored 4-door SUV,4,"$1,245,000 (Warstock Cache & Carry)#FREE (For players on the Guest List)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Insurgent#Menacer
442,Marshall,Cheval,Off-Road,Civilian off-road vehicle,Monster truck,2,"$250,000 (Story)#$500,000 (Online)#FREE (Returning Players, GTA Online)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto V [NG]#Grand Theft Auto Online [NG],0,Picador#Monster Truck#Liberator
443,Mesa,Canis (HD Universe),SUVs,Civilian car,2-door SUV (3D Universe)#4-door SUT/SUV (HD Universe)#4-door offroad SUT/SUV (Merryweather variant),2,"$20,000 (GTA SA)#(Exports and Imports)#$87,000 (Merryweather variant; GTA Online)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,Crusader,Freecrawler
444,Outlaw,Nagasaki,Off-Road,Civilian vehicle,2-door UTV,2,"$1,268,000#$951,000 (trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,BF Injection#Dune Buggy#Bifta#Vagrant
445,Ramp Buggy,BF,Off-Road,Civilian car,Custom built ramp car,2,"$3,192,000#$2,400,000 (SecuroServ trade price)# (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC]#,0,Dune Buggy#Dune FAV
446,Ramp Buggy,BF,Off-Road,Civilian car,Custom built ramp car,2,"$3,192,000#$2,400,000 (SecuroServ trade price)# (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC]#,0,Dune Buggy#Dune FAV
447,Rancher XL,Declasse,Off-Road,Civilian car,4-door SUV,4,"$9,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Police Rancher,Rancher#Gang Rancher#FBI Rancher#Cartel Cruiser
448,Rancher XL,Declasse,Off-Road,Civilian car,4-door SUV,4,"$9,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Police Rancher,Rancher#Gang Rancher#FBI Rancher#Cartel Cruiser
449,RC Bandito,0,Off-Road,RC Vehicle,Toy car,1,"$1,590,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V [CUT]#Grand Theft Auto Online [DLC] [EV],0,RC Bandit#Invade and Persuade Tank
450,Rebel,Karin,Off-Road,Civilian truck,2-door pickup truck,2,"$22,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Rusty Rebel#Technical#Technical Aqua#Technical Custom,Bobcat#Rancher
451,Rusty Rebel,Karin,Off-Road,Civilian truck,2-door pickup truck,2,"$3,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Technical#Technical Aqua,Bobcat#Rancher
452,Riata,Vapid,Off-Road,Civilian vehicle,Pickup truck,0,"$380,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Sandking SWB#Sandking XL#Caracara#Caracara 4x4
453,Sandking XL,Vapid,Off-Road,Civilian car,4-door pickup truck,4,"$45,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Sandking SWB#Sadler#Rancher#The Liberator#Caracara 4x4
454,Sandking SWB,Vapid,Off-Road,Civilian car,2-door pickup truck,2,"$38,000 (Online)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Riata#Sandking XL#Sadler#Rancher#The Liberator#Caracara 4x4
455,Apocalypse Sasquatch,Bravado,Off-Road,Civilian vehicle,2-door monster truck,2,"$1,530,875 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock Sasquatch#Nightmare Sasquatch,Liberator#Marshall#Rat-Loader#Rat-Truck#Duneloader
456,Future Shock Sasquatch,Bravado,Off-Road,Civilian car,2-door monster truck,2,"$1,530,875 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Apocalypse Sasquatch#Nightmare Sasquatch#Liberator#Marshall#Rat-Loader#Rat-Truck#Duneloader
457,Nightmare Sasquatch,Bravado,Off-Road,Civilian car,2-door monster truck,2,"$1,530,875 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Apocalypse Sasquatch#Future Shock Sasquatch#Liberator#Marshall#Rat-Loader#Rat-Truck#Duneloader
458,Space Docker,BF,Off-Road,Civilian car,Dune buggy,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online [EV],0,Dune Buggy
459,Street Blazer,Nagasaki,Off-Road,Civilian vehicle,Quad bike,1,"$81,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Blazer#Quad#Blazer Lifeguard#Hot Rod Blazer#Blazer Aqua
460,Technical,Karin,Off-Road,Civilian truck,2-door armed pickup truck,3,"• ­$1,263,500#• ­$950,000 (after Series A Funding)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC],Technical Aqua#Technical Custom,Rebel#Rusty Rebel#Caracara
461,Technical Aqua,Karin,Off-Road,Civilian truck,Custom amphibious pick-up truck,3,"$1,489,600#$1,120,000 (SecuroServ trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV] #,0,Technical#Technical Custom#Rebel#Blazer Aqua#Vortex#Bovver'64#Splitz-6 ATV
462,Technical Custom,Karin,Off-Road,Civilian truck,2-door armed pickup truck,3,"$142,500 (Conversion at Mobile Operations Center/Avenger workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Rebel#Rusty Rebel#Technical#Technical Aqua#Caracara
463,Trophy Truck,Vapid,Off-Road,Civilian vehicle,Trophy truck,2,"$550,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Desert Raid
464,Liberator,Vapid,Off-Road,Events/custom vehicle,All-wheel steer monster truck,2,"$742,014 (Original release)#$556,511 (2015 release)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Sasquatch#Sadler#Sandking#Monster#Marshall
465,Winky,Vapid,Off-Road,Military vehicle,Light utility vehicle,3,"$1,100,000#$825,000 (trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto V [CUT]#Grand Theft Auto Online [DLC] [EV],0,Mesa#Crusader#Bodhi#Squaddie#Land Roamer
466,Vagrant,Maxwell,Off-Road,Civilian car,Off-road buggy,2,"$2,214,000#$1,660,500 (trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,BF Injection#Bandito#Dune Buggy#Space Docker#Bifta#Outlaw
467,Verus,Dinka,Off-Road,Military ATV,Quad bike,2,"$192,000#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Blazer Lifeguard#Blazer Aqua#Hot Rod Blazer#Street Blazer#Blazer
468,Yosemite Rancher,Declasse,Off-Road,Civilian vehicle,2-door Pickup truck,2,"$700,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Yosemite#Drift Yosemite#Riata#Rancher#Rancher XL#Sadler (GTA San Andreas)
469,Zhaba,RUNE,Off-Road,Civilian vehicle,All-terrain vehicle,4,"$2,400,000#$1,800,000 (trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,APC
470,Benson,Vapid (HD Universe),Commercial,Civilian car/Industrial vehicle,Industrial box truck,2,0,,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Yankee#Mule (3D Universe)#Scrap Truck#Large Tow Truck#Prison Bus
471,Biff,HVY (HD Universe),Commercial,Industrial vehicle,Industrial dumptruck/flatbed truck,2,0,,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Mixer#Rubble#Tipper
472,Apocalypse Cerberus,MTL,Commercial,Industial vehicle,Custom truck,2,"$3,870,300#$2,910,000 (trade price)#(Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock Cerberus#Nightmare Cerberus,Phantom#Phantom Wedge#Phantom Custom#Hauler#Hauler Custom#Pounder#Pounder Custom
473,Future Shock Cerberus,MTL,Commercial,Industrial vehicle,Custom truck,2,"$3,870,300#$2,910,000 (trade price)#(Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Apocalypse Cerberus#Nightmare Cerberus#Phantom#Phantom Wedge#Phantom Custom#Hauler#Hauler Custom#Pounder#Pounder Custom
474,Nightmare Cerberus,MTL,Commercial,Industrial vehicle,Custom truck,2,"$3,870,300#$2,910,000 (trade price)#(Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Apocalypse Cerberus#Future Shock Cerberus#Phantom#Phantom Wedge#Phantom Custom#Hauler#Hauler Custom#Pounder#Pounder Custom
475,Hauler,Jobuilt,Commercial,Industrial vehicle,Tractor trailer truck,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Hauler Custom,Packer (GTA IV)#Phantom#Flatbed#Pounder#Linerunner#Recovery#DFT-30
476,Hauler Custom,Jobuilt,Commercial,Custom truck,Armored cab-over semi-truck,2,"$1,400,000 (MOC)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Hauler#Phantom Custom#Packer (GTA IV)
477,Mule,Maibatsu Corporation (HD Universe),Commercial,Industrial/Commercial vehicle,2-door box truck,2,"• ­$27,000 (Civilian, GTA Online) (Warstock Cache & Carry)• ­$43,225 (Heist variant, GTA Online) (Warstock Cache & Carry)• ­$32,500 (Heist variant, GTA Online) (Warstock Cache & Carry, after Series A Funding)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Mr. Wongs#Mule Custom#Triad Fish Van#Spand Express,Benson (3D Universe)
478,Mule,Maibatsu Corporation (HD Universe),Commercial,Industrial/Commercial vehicle,2-door box truck,2,"• ­$27,000 (Civilian, GTA Online) (Warstock Cache & Carry)• ­$43,225 (Heist variant, GTA Online) (Warstock Cache & Carry)• ­$32,500 (Heist variant, GTA Online) (Warstock Cache & Carry, after Series A Funding)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Mr. Wongs#Mule Custom#Triad Fish Van#Spand Express,Benson (3D Universe)
479,Mule,Maibatsu Corporation (HD Universe),Commercial,Industrial/Commercial vehicle,2-door box truck,2,"• ­$27,000 (Civilian, GTA Online) (Warstock Cache & Carry)• ­$43,225 (Heist variant, GTA Online) (Warstock Cache & Carry)• ­$32,500 (Heist variant, GTA Online) (Warstock Cache & Carry, after Series A Funding)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Mr. Wongs#Mule Custom#Triad Fish Van#Spand Express,Benson (3D Universe)
480,Mule Custom,Maibatsu,Commercial,Industrial/Commercial vehicle,2-door box truck,4,"$95,760#$72,000 (Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Benson (3D Universe)#Mule
481,Packer,MTL (HD Universe),Commercial,Industrial truck,Car transporter (3D Universe & GTA IV)#Semi-trailer truck (GTA V),2,0,,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Hauler (GTA IV),Flatbed#Pounder#Linerunner#Recovery#DFT-30#Phantom#Tanker(GTA SA)
482,Phantom,Jobuilt (HD Universe),Commercial,Industrial vehicle,Tractor trailer truck,2,0,,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Rubble#Phantom Wedge#Phantom Custom,Flatbed#Pounder#Linerunner#Recovery#DFT-30#Packer#Hauler
483,Phantom Custom,JoBuilt,Commercial,Custom truck,Armored semi-truck,5,"$1,225,000 (MOC)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Phantom#Phantom Wedge,Hauler Custom
484,Phantom Wedge,Jobuilt,Commercial,Civilian truck,Custom semi-truck,5,"$2,553,600#$1,920,000 (SecuroServ trade price)# (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC],0,Phantom#Phantom Custom
485,Pounder,MTL,Commercial,Commercial/Industrial vehicle,Box truck,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Pounder Custom,Packer#Flatbed
486,Pounder Custom,MTL,Commercial,Industrial/Commercial vehicle,Armored box truck,8,"$320,530#$241,000 (Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC],0,Pounder#Packer#Flatbed#Mule Custom#Speedo Custom
487,Stockade,Brute (HD Universe),Commercial,Commercial vehicle,Large armored van,4,"$2,240,000#$1,680,000 (Trade price)#(GTA Online; Warstock Cache & Carry)[1]",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Utility Truck,Police Stockade#Enforcer
488,Terrorbyte,Benefactor,Commercial,Military vehicle,Armored command truck,4,"$1,375,000 - $3,459,500#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Brickade (GTA Online)#Mobile Operations Center
489,Dock Handler,HVY,Industrial,Industrial vehicle,Dock handler,1,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Forklift
490,Dozer,DUDE (Grand Theft Auto: San Andreas)#HVY (Grand Theft Auto V),Industrial,Industrial vehicle,Bulldozer (GTA San Andreas)#Tracked loader (GTA V),1,0,,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,0,Bulldozer
491,Dump,HVY (Website and game files)#Brute (Badging),Industrial,Industrial vehicle,Off-road dump truck,1,"$1,000,000 (GTA Online)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Dumper
492,Flatbed,MTL (HD Universe),Industrial,Industrial vehicle,Flatbed truck,2,0,,VEHICLE,Grand Theft Auto: London 1969#Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance [CUT]#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,0,Phantom (GTA IV)#Tanker (GTA Chinatown Wars)#DFT-30#Packer (GTA V)#Pounder (GTA V)#Wastelander
493,Guardian,Vapid,Industrial,Civilian truck,4-door pickup truck,6,"$375,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC],0,Sandking SWB#Sandking XL#Contender#Caracara#Caracara 4x4
494,Mixer,HVY[1],Industrial,Construction vehicle,Cement mixer,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Cement Truck#Tipper#Biff
495,Mixer,HVY[1],Industrial,Construction vehicle,Cement mixer,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Cement Truck#Tipper#Biff
496,Rubble,Jobuilt,Industrial,Civilian truck,Dump truck,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Phantom#Biff#Tipper
497,Tipper,Brute (second generation)[1],Industrial,Industrial vehicle,Dump truck,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Mixer#Biff
498,Tipper,Brute (second generation)[1],Industrial,Industrial vehicle,Dump truck,2,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Mixer#Biff
499,Airport Bus,Brute,Service,Public service vehicle,Bus,16,"$550,000 (Online)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Bus
500,Brickade,HVY (TBoGT)#MTL (GTA Online),Service,Law enforcement vehicle (TBoGT)#Industrial/Commercial vehicle (GTA: Online),Armored van (TBoGT)#Armored cab-over-engine truck (GTA Online),2,"$1,110,000 (GTA Online) (Warstock Cache & Carry)",,VEHICLE,The Ballad of Gay Tony [UN]#Grand Theft Auto Online [DLC] [EV],Dune (GTA Online),Terrorbyte
501,Bus,Brute (HD Universe),Service,Public service vehicle,Bus,2,"$500,000 (GTA Online) (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto#Grand Theft Auto 2#Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto Advance [CUT]#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories [UN]#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Airport Bus,Coach#Dashound#School Bus
502,Dashound,0,Service,Bus (coach),Bus,10,"$525,000 (GTA Online) (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto: San Andreas [CUT]#Grand Theft Auto V#Grand Theft Auto Online,0,Bus#Coach
503,Dune,MTL,Service,Civilian truck,Off-road rally truck,2,"$1,300,000 (Globe Oil livery)#$1,385,000 (Fukaru Rally livery) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto Online [DLC] [EV],0,Brickade (GTA Online)
504,Festival Bus,Vapid,Service,Bus,Modified Bus,11,"$1,842,050#$1,385,000 (Trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Prison Bus
505,Rental Shuttle Bus,Brute,Service,Public service vehicle,Minibus,10,"$30,000 (Online)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Burrito#Tourbus
